"PVWatts: Hourly PV Performance Data"
"Requested Location:","-37.5310668,143.8158656"
"Location:","BALLARAT AERODROME, AUSTRALIA"
"Lat (deg S):","37.52"
"Long (deg E):","143.78"
"Elev (m):","436"
"DC System Size (kW):","900"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","10"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","13.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","14.2","0","0","14.2","0","0"
"1","1","1","0","0","12.1","0","0","12.1","0","0"
"1","1","2","0","0","11.8","0","0","11.8","0","0"
"1","1","3","0","0","11.7","2.5","0","11.7","0","0"
"1","1","4","1","2","12.2","5.7","0","12.2","0","0"
"1","1","5","24","68","14.1","2.6","85.802","14.467","68408.93","63885.746"
"1","1","6","116","183","16.6","2.6","226.759","20.839","173822.094","169010.031"
"1","1","7","272","264","20.1","2.1","390.837","29.414","289262.75","283585.531"
"1","1","8","371","322","22.8","2.8","546.761","35.438","397652.906","390641.063"
"1","1","9","372","395","25.9","3","663.489","41.263","471971.375","463752.188"
"1","1","10","323","477","28.5","1","735.883","51.399","497811.688","489117"
"1","1","11","281","532","30.4","4.1","768.637","46.74","533392.75","523996.25"
"1","1","12","283","531","31.4","5","774.071","46.542","537791.188","528304.125"
"1","1","13","329","472","31","8.2","753.022","41.919","535682.125","526238.625"
"1","1","14","382","387","30.9","7.3","695.848","41.74","494922.406","486282.313"
"1","1","15","385","312","29.6","8.5","588.995","37.841","425880.469","418438.063"
"1","1","16","288","256","28.2","10.3","428.541","33.326","314782.875","308836.938"
"1","1","17","126","179","26.1","9.8","236.831","28.751","176670.078","171843.578"
"1","1","18","27","67","24.4","9.7","74.819","24.778","56756.234","52235.621"
"1","1","19","1","2","23.3","6.2","2.114","22.375","1605.615","0"
"1","1","20","0","0","21.8","7.8","0","21.8","0","0"
"1","1","21","0","0","20.9","6.3","0","20.9","0","0"
"1","1","22","0","0","20.4","4.7","0","20.4","0","0"
"1","1","23","0","0","20.6","2.8","0","20.6","0","0"
"1","2","0","0","0","20.5","2.1","0","20.5","0","0"
"1","2","1","0","0","20","2.6","0","20","0","0"
"1","2","2","0","0","20.8","2.4","0","20.8","0","0"
"1","2","3","0","0","21.3","3.6","0","21.3","0","0"
"1","2","4","1","3","23","5.1","0","23","0","0"
"1","2","5","69","75","23.2","7.3","103.25","23.872","76895.25","72366.516"
"1","2","6","409","138","24.7","9.3","265.304","27.572","185659.094","180784.719"
"1","2","7","733","123","26.5","10.3","461.856","31.81","327734.563","321641.531"
"1","2","8","857","123","28.4","12.4","644.193","35.272","463802.781","455727.906"
"1","2","9","848","159","30.3","13.2","781.172","38.484","561395.75","551408.563"
"1","2","10","776","224","31","13.4","866.208","40.086","620707","609357.313"
"1","2","11","710","282","33.3","12.8","908.788","43.231","641884.688","630011.875"
"1","2","12","712","280","34.2","11.9","921.955","44.826","646043.125","634065.25"
"1","2","13","782","219","35.3","12.4","910.56","45.536","635428.313","623717"
"1","2","14","856","153","34.9","9.5","859.589","46.417","595984.063","585220.75"
"1","2","15","866","116","34.8","8.2","746.31","45.768","516269.625","507217.688"
"1","2","16","748","115","35.1","5.1","565.227","46.156","384791.5","377964.469"
"1","2","17","430","131","33.8","6.3","327.88","39.269","226058.125","220925.641"
"1","2","18","69","73","32.9","5.6","94.679","34.198","67216.398","62693.746"
"1","2","19","1","3","30.6","5.1","3.097","29.797","2293.718","0"
"1","2","20","0","0","30.4","4.4","0","30.4","0","0"
"1","2","21","0","0","28.7","3.8","0","28.7","0","0"
"1","2","22","0","0","26.7","3.2","0","26.7","0","0"
"1","2","23","0","0","24.5","0","0","24.5","0","0"
"1","3","0","0","0","22.7","0","0","22.7","0","0"
"1","3","1","0","0","21.5","0","0","21.5","0","0"
"1","3","2","0","0","20.8","0","0","20.8","0","0"
"1","3","3","0","0","20.9","2.1","0","20.9","0","0"
"1","3","4","1","2","22.1","4.1","0","22.1","0","0"
"1","3","5","29","69","24","4.8","87.878","24.545","66689.531","62167.098"
"1","3","6","144","180","26.6","6.5","231.809","29.641","169379.797","164589.563"
"1","3","7","331","247","29.6","8.2","400.814","34.888","287472.063","281812.594"
"1","3","8","441","293","32.4","9.8","558.692","39.352","397639.875","390628.219"
"1","3","9","440","361","34.8","10.9","678.621","42.894","478376.938","470042.563"
"1","3","10","383","445","35.2","11.3","753.719","44.078","529779.438","520456.719"
"1","3","11","335","504","36.9","11.2","789.173","46.336","548749.625","539033.438"
"1","3","12","337","502","36.5","10.4","794.963","46.496","552407.313","542613.438"
"1","3","13","390","439","37.5","8.8","775.087","48.387","533116.875","523726.063"
"1","3","14","451","353","33","7.6","720.099","43.996","506156.25","497301.844"
"1","3","15","455","283","30.7","6","612.643","41.442","434715.813","427131.563"
"1","3","16","348","238","25.7","5.1","446.485","34.133","326079.75","320005.906"
"1","3","17","156","176","26.2","3.4","247.174","31.5","181348.109","176497.109"
"1","3","18","32","68","24.5","2.5","77.265","25.602","58210.523","53689.906"
"1","3","19","1","2","24.7","1.5","2.113","23.221","1599.173","0"
"1","3","20","0","0","22.5","1.6","0","22.5","0","0"
"1","3","21","0","0","21.9","1.3","0","21.9","0","0"
"1","3","22","0","0","21.2","1.2","0","21.2","0","0"
"1","3","23","0","0","20.6","0.5","0","20.6","0","0"
"1","4","0","0","0","19.4","0.6","0","19.4","0","0"
"1","4","1","0","0","17","0.5","0","17","0","0"
"1","4","2","0","0","16.6","1","0","16.6","0","0"
"1","4","3","0","0","15.2","1.3","0","15.2","0","0"
"1","4","4","0","0","15.6","1","0","15.6","0","0"
"1","4","5","0","8","13.9","1.8","7.83","12.037","6423.447","1846.772"
"1","4","6","0","32","14.2","1.9","31.35","13.064","25602.52","21060.066"
"1","4","7","0","71","14.5","3.1","69.635","14.555","56490.59","51969.965"
"1","4","8","0","121","16.7","1.8","118.806","18.333","94749.242","90198.711"
"1","4","9","0","175","18.4","1.6","171.784","21.853","134801.875","130152.516"
"1","4","10","1","220","20","0.5","216.636","26.595","166262.406","161486.984"
"1","4","11","1","246","21.3","1.1","242.079","27.821","184711.813","179842.641"
"1","4","12","1","246","22","0.9","242.087","28.998","183682.453","178818.891"
"1","4","13","1","220","22.4","1","216.664","28.423","164845.844","160077.016"
"1","4","14","0","175","21.4","0.6","171.752","26.504","131873.609","127233.805"
